SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
209029,208036,212048,2012,A,S,2014,2.5,1.084,59.874144
210097,209016,212058,2012,A,L,2015,3.5,0.806,59.874144
209020,209069,213005,2013,B,S,2015,2.5,0.758,59.874144
209009,210104,213076,2013,B,S,2014,1.5,0.52,59.874144
209025,211120,213087,2013,B,L,2016,3.5,0.526,59.874144
210015,208035,214010,2014,C,S,2015,1.5,0.514,59.874144
210089,211029,214116,2014,C,L,2018,4.5,0.741,59.647348
212040,212064,216005,2016,D,L,2019,3.5,0.8117,59.647348
209020,210074,212073,2012,A,L,2014,2.5,0.396,59.420552
210097,210103,212087,2012,A,L,2014,2.5,0.708,59.420552
209058,210201,213041,2013,B,L,2014,1.5,0.38,59.420552
210069,211065,214017,2014,C,S,2015,1.5,0.34,59.420552
212011,213086,216022,2016,D,L,2018,2.5,0.6199,59.420552
212012,213064,216015,2016,D,S,2017,1.5,0.2473,59.193756
210097,210008,212016,2012,A,S,2013,1.5,0.658,58.96696
210097,207026,212051,2012,A,L,2014,2.5,0.312,58.96696
210045,209026,212088,2012,A,S,2013,1.5,0.292,58.96696
209007,209064,213061,2013,B,S,2014,1.5,0.486,58.96696
209009,210018,213079,2013,B,S,2014,1.5,0.318,58.96696
209009,211081,213130,2013,B,L,2015,2.5,0.56,58.96696
210069,211047,214077,2014,C,S,2017,3.5,0.8796,58.740164
209020,208009,212021,2012,A,L,2014,2.5,0.38,58.513368
209007,210086,213024,2013,B,L,2016,3.5,0.73,58.513368
210060,211047,214076,2014,C,S,2016,2.5,0.358,58.513368
210045,210108,214109,2014,C,S,2015,1.5,0.244,58.513368
212053,213054,216052,2016,D,S,2017,1.5,0.218,58.286572
210097,209016,212058,2012,A,L,2014,2.5,0.444,58.059776
210089,209026,214036,2014,C,L,2017,3.5,0.8183,58.059776
210060,208009,214107,2014,C,S,2015,1.5,0.208,58.059776
212016,212068,216012,2016,D,S,2018,2.5,0.6395,58.059776
212012,212122,216068,2016,D,S,2018,2.5,0.6109,58.059776
209020,209054,212005,2012,A,S,2014,2.5,0.888,57.606184
209020,208025,212027,2012,A,L,2013,1.5,0.364,57.606184
209020,209069,213004,2013,B,L,2015,2.5,0.722,57.606184
209020,209054,213014,2013,B,L,2015,2.5,0.496,57.606184
